yyyy_mm,country,crop,rainfall_mm,temp_c,price_usd
2000-01,India,Wheat,183.64,28.86,201.22
2000-02,India,Wheat,0.0,29.54,197.06
2000-03,India,Wheat,152.61,34.45,200.06
2000-04,India,Wheat,84.29,31.95,203.82
2000-05,India,Wheat,97.11,31.27,196.02
2000-06,India,Wheat,28.83,31.4,190.81
2000-07,India,Wheat,59.93,29.27,191.32
2000-08,India,Wheat,146.0,26.25,190.06
2000-09,India,Wheat,94.17,20.86,189.99
2000-10,India,Wheat,159.94,23.9,186.58
2000-11,India,Wheat,129.86,21.95,190.09
2000-12,India,Wheat,94.35,25.89,193.21
2001-01,India,Wheat,184.64,25.63,193.47
2001-02,India,Wheat,118.34,31.24,197.98
2001-03,India,Wheat,150.46,30.99,199.85
2001-04,India,Wheat,86.21,30.86,196.41
2001-05,India,Wheat,104.78,33.52,197.89
2001-06,India,Wheat,50.15,30.9,194.05
2001-07,India,Wheat,139.38,26.98,197.57
2001-08,India,Wheat,0.0,27.92,197.37
2001-09,India,Wheat,106.16,22.94,196.63
2001-10,India,Wheat,44.56,23.05,193.9
2001-11,India,Wheat,129.49,24.12,198.79
2001-12,India,Wheat,113.05,24.47,198.17
2002-01,India,Wheat,189.24,28.79,196.46
2002-02,India,Wheat,135.85,29.61,195.05
2002-03,India,Wheat,6.46,31.64,197.18
2002-04,India,Wheat,99.98,35.27,198.64
2002-05,India,Wheat,30.46,30.6,200.29
2002-06,India,Wheat,60.9,26.48,202.02
2002-07,India,Wheat,170.67,30.68,210.58
2002-08,India,Wheat,106.25,29.75,208.96
2002-09,India,Wheat,17.28,22.99,206.91
2002-10,India,Wheat,0.0,19.77,203.65
2002-11,India,Wheat,61.18,23.15,206.12
2002-12,India,Wheat,0.0,25.02,210.63
2003-01,India,Wheat,39.73,27.68,210.18
2003-02,India,Wheat,110.72,28.64,206.82
2003-03,India,Wheat,170.1,33.3,203.52
2003-04,India,Wheat,140.53,33.87,206.12
2003-05,India,Wheat,0.0,29.84,209.1
2003-06,India,Wheat,110.26,31.67,211.27
2003-07,India,Wheat,84.32,31.42,208.61
2003-08,India,Wheat,92.83,25.79,209.53
2003-09,India,Wheat,156.19,23.11,210.0
2003-10,India,Wheat,0.0,22.76,210.88
2003-11,India,Wheat,23.75,24.7,214.36
2003-12,India,Wheat,103.45,22.62,215.26
2004-01,India,Wheat,0.0,28.27,217.97
2004-02,India,Wheat,180.56,29.85,218.24
2004-03,India,Wheat,122.89,35.41,219.4
2004-04,India,Wheat,154.8,32.71,221.92
2004-05,India,Wheat,66.53,35.11,216.1
2004-06,India,Wheat,140.83,28.66,214.82
2004-07,India,Wheat,144.11,28.98,212.94
2004-08,India,Wheat,81.97,26.03,210.38
2004-09,India,Wheat,73.28,22.22,209.28
2004-10,India,Wheat,72.22,23.3,215.26
2004-11,India,Wheat,7.41,25.69,211.8
2004-12,India,Wheat,59.15,24.96,215.67
2005-01,India,Wheat,70.85,25.18,208.94
2005-02,India,Wheat,115.0,30.47,207.6
2005-03,India,Wheat,160.77,30.83,208.25
2005-04,India,Wheat,40.49,32.43,210.59
2005-05,India,Wheat,93.28,32.19,213.44
2005-06,India,Wheat,,27.66,216.61
2005-07,India,Wheat,35.38,25.31,215.22
2005-08,India,Wheat,18.66,26.3,213.37
2005-09,India,Wheat,71.35,22.8,216.8
2005-10,India,Wheat,106.66,18.73,216.03
2005-11,India,Wheat,59.9,24.98,210.93
2005-12,India,Wheat,147.74,25.95,206.4
2006-01,India,Wheat,131.41,26.81,202.72
2006-02,India,Wheat,142.51,28.31,204.71
2006-03,India,Wheat,134.03,33.72,205.28
2006-04,India,Wheat,243.66,33.58,208.04
2006-05,India,Wheat,88.47,36.3,206.33
2006-06,India,Wheat,0.0,31.2,206.97
2006-07,India,Wheat,176.26,28.65,209.47
2006-08,India,Wheat,40.54,25.22,208.23
2006-09,India,Wheat,65.69,25.03,210.06
2006-10,India,Wheat,134.57,24.04,
2006-11,India,Wheat,0.0,25.76,205.96
2006-12,India,Wheat,0.0,24.63,204.43
2007-01,India,Wheat,0.0,27.27,199.65
2007-02,India,Wheat,44.35,29.7,201.6
2007-03,India,Wheat,127.16,33.65,199.72
2007-04,India,Wheat,135.45,35.5,199.77
2007-05,India,Wheat,117.36,31.57,201.69
2007-06,India,Wheat,7.23,29.79,203.48
2007-07,India,Wheat,0.0,28.52,
2007-08,India,Wheat,71.26,25.09,205.74
2007-09,India,Wheat,30.91,25.26,204.05
2007-10,India,Wheat,83.56,19.25,203.73
2007-11,India,Wheat,101.33,22.29,196.98
2007-12,India,Wheat,76.29,24.2,191.19
2008-01,India,Wheat,125.61,24.13,185.9
2008-02,India,Wheat,105.75,28.89,181.91
2008-03,India,Wheat,132.59,30.8,183.51
2008-04,India,Wheat,61.72,32.66,179.89
2008-05,India,Wheat,90.01,34.19,178.38
2008-06,India,Wheat,103.81,30.09,183.58
2008-07,India,Wheat,129.23,26.28,182.15
2008-08,India,Wheat,44.38,25.41,185.1
2008-09,India,Wheat,90.49,25.42,181.37
2008-10,India,Wheat,40.05,21.37,180.55
2008-11,India,Wheat,52.16,22.15,176.75
2008-12,India,Wheat,117.77,26.43,175.39
2009-01,India,Wheat,0.0,27.63,178.75
2009-02,India,Wheat,14.21,31.58,171.84
2009-03,India,Wheat,11.85,32.31,173.58
2009-04,India,Wheat,0.0,34.17,174.53
2009-05,India,Wheat,,30.6,172.15
2009-06,India,Wheat,136.97,30.48,166.37
2009-07,India,Wheat,62.91,27.65,166.66
2009-08,India,Wheat,79.87,23.47,164.54
2009-09,India,Wheat,124.57,21.06,165.47
2009-10,India,Wheat,135.66,24.14,165.56
2009-11,India,Wheat,55.07,23.08,171.96
2009-12,India,Wheat,149.22,23.8,171.01
2010-01,India,Wheat,85.53,27.84,166.91
2010-02,India,Wheat,41.76,32.38,167.63
2010-03,India,Wheat,65.12,28.53,168.51
2010-04,India,Wheat,15.17,30.51,173.95
2010-05,India,Wheat,47.5,30.79,177.29
2010-06,India,Wheat,70.52,32.94,178.71
2010-07,India,Wheat,128.22,28.47,184.57
2010-08,India,Wheat,171.25,26.78,179.81
2010-09,India,Wheat,0.0,21.77,177.25
2010-10,India,Wheat,79.57,21.13,173.55
2010-11,India,Wheat,0.0,24.42,171.99
2010-12,India,Wheat,96.48,25.6,166.48
2011-01,India,Wheat,72.13,28.91,169.02
2011-02,India,Wheat,0.0,30.19,168.13
2011-03,India,Wheat,156.48,32.79,162.25
2011-04,India,Wheat,67.7,33.26,158.19
2011-05,India,Wheat,68.75,33.63,159.44
2011-06,India,Wheat,27.81,31.85,162.79
2011-07,India,Wheat,40.74,25.3,170.78
2011-08,India,Wheat,93.67,21.75,182.44
2011-09,India,Wheat,47.86,25.34,184.09
2011-10,India,Wheat,75.72,24.98,180.14
2011-11,India,Wheat,80.93,21.97,171.61
2011-12,India,Wheat,147.24,22.4,172.68
2012-01,India,Wheat,59.43,28.17,169.43
2012-02,India,Wheat,3.39,32.05,167.77
2012-03,India,Wheat,164.82,35.33,165.32
2012-04,India,Wheat,84.11,33.86,164.75
2012-05,India,Wheat,167.66,31.71,169.02
2012-06,India,Wheat,115.0,29.01,169.65
2012-07,India,Wheat,72.13,28.02,169.01
2012-08,India,Wheat,88.93,25.0,164.87
2012-09,India,Wheat,176.28,21.98,158.17
2012-10,India,Wheat,180.62,26.41,156.23
2012-11,India,Wheat,63.38,26.65,156.01
2012-12,India,Wheat,77.61,27.39,163.08
2013-01,India,Wheat,144.57,26.47,163.6
2013-02,India,Wheat,41.26,31.93,167.53
2013-03,India,Wheat,120.77,33.4,165.54
2013-04,India,Wheat,102.45,33.74,160.8
2013-05,India,Wheat,119.62,34.41,156.94
2013-06,India,Wheat,42.0,31.56,154.04
2013-07,India,Wheat,0.0,29.23,162.55
2013-08,India,Wheat,0.0,26.56,159.26
2013-09,India,Wheat,0.0,24.24,162.62
2013-10,India,Wheat,28.48,20.03,159.01
2013-11,India,Wheat,41.62,23.81,162.73
2013-12,India,Wheat,184.23,24.57,164.27
2014-01,India,Wheat,,25.87,163.65
2014-02,India,Wheat,34.27,33.3,163.48
2014-03,India,Wheat,121.65,35.21,160.86
2014-04,India,Wheat,79.58,35.27,162.65
2014-05,India,Wheat,83.72,32.76,160.83
2014-06,India,Wheat,103.12,32.75,155.93
2014-07,India,Wheat,117.15,28.02,150.81
2014-08,India,Wheat,47.64,25.84,151.5
2014-09,India,Wheat,123.05,21.85,157.82
2014-10,India,Wheat,0.0,23.66,158.46
2014-11,India,Wheat,59.6,23.77,157.99
2014-12,India,Wheat,223.86,23.33,159.13
2015-01,India,Wheat,93.38,27.91,164.35
2015-02,India,Wheat,177.99,30.37,165.23
2015-03,India,Wheat,106.28,35.33,163.59
2015-04,India,Wheat,138.85,34.49,168.01
2015-05,India,Wheat,97.38,32.35,169.73
2015-06,India,Wheat,81.78,30.91,175.87
2015-07,India,Wheat,33.23,28.07,176.6
2015-08,India,Wheat,93.82,25.16,171.71
2015-09,India,Wheat,8.12,21.87,166.23
2015-10,India,Wheat,95.94,22.75,172.84
2015-11,India,Wheat,124.33,22.43,179.73
2015-12,India,Wheat,89.99,23.42,179.01
2016-01,India,Wheat,62.83,28.85,177.48
2016-02,India,Wheat,119.24,31.15,183.33
2016-03,India,Wheat,82.26,29.35,178.9
2016-04,India,Wheat,160.13,32.8,175.32
2016-05,India,Wheat,0.0,33.99,177.89
2016-06,India,Wheat,71.86,32.27,176.31
2016-07,India,Wheat,0.0,29.71,176.29
2016-08,India,Wheat,0.0,25.56,175.64
2016-09,India,Wheat,141.05,22.26,176.99
2016-10,India,Wheat,109.71,21.19,182.62
2016-11,India,Wheat,16.05,24.24,182.98
2016-12,India,Wheat,0.0,26.13,185.56
2017-01,India,Wheat,0.0,30.15,177.36
2017-02,India,Wheat,59.39,32.33,177.16
2017-03,India,Wheat,246.01,32.11,173.79
